사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202508,1호선,동대문,396,24,10054,1708,8359,6219,13936,10000,20883,17081,20911,20064,19050,22490,20911,26494,23254,25165,24728,24233,26428,23665,26670,23151,27649,22981,25742,23025,23665,22362,17835,20883,15978,16065,13620,15375,10605,15346,5473,9674,760,2917,0,239,0,0,0,0,20250903
202508,1호선,동묘앞,166,5,2672,878,3728,5321,8349,9796,13635,19428,12365,18488,15193,24054,21237,29119,26842,29593,29552,31482,30497,27679,31852,24904,32423,20071,27768,15802,20876,13453,11282,9389,6280,6725,4974,6797,3255,7010,1182,4911,125,2020,1,215,0,0,0,0,20250903
202508,1호선,서울역,672,45,10600,9895,28477,56355,88208,119646,144587,235080,111798,164626,97114,100902,112719,100665,131167,112448,122487,109565,106886,102249,134876,113111,147410,122196,217317,145915,242978,170617,137772,115850,101639,84598,104940,79671,72022,59114,34546,29545,4209,7383,15,181,0,0,0,0,20250903
202508,1호선,시청,48,1,1902,5404,3872,28087,7288,75618,10853,194807,14065,84910,17192,45167,23106,42554,25194,41963,30213,42620,38710,33456,52573,28738,64056,27227,97389,28526,155851,26092,60828,14215,54802,9681,46707,8817,29933,6422,9862,3816,547,930,0,6,0,0,0,0,20250903
202508,1호선,신설동,389,19,8836,2142,9989,8530,21201,23653,30444,49123,21512,30947,19940,20595,21375,18509,23457,18185,23692,19457,22540,17919,23908,20531,28903,21811,40689,24827,49360,30419,19524,22123,13650,16278,11990,15815,8151,14428,3390,9451,373,2733,0,0,0,0,0,0,20250903
202508,1호선,제기동,337,3,4974,2503,8759,9468,20963,20857,29386,35991,23852,31709,26182,34975,30688,40400,34540,40777,35000,40877,37443,37685,40123,33329,41499,33266,41467,27733,36749,26264,20886,17578,13538,11732,8050,11147,5257,9107,2089,5944,134,1424,0,0,0,0,0,0,20250903
202508,1호선,종각,76,5,3825,5959,4177,36389,6715,113584,10262,260334,13327,134295,19778,59398,30580,58741,36650,53142,44302,53347,54055,45720,67278,41107,85084,44215,156093,48942,213657,50145,92490,25310,82525,14594,83672,10849,60312,7888,25130,4697,1886,1340,0,3,0,0,0,0,20250903
202508,1호선,종로3가,150,9,3945,3425,4398,13230,6640,25403,9942,60909,15346,59556,22288,53349,32861,61561,44650,59823,45620,55754,51810,47898,58188,41774,67272,39880,80395,37170,84538,36676,51074,19493,43839,12355,44730,9796,34559,8192,14956,5032,1479,2099,0,20,1,0,0,0,20250903
202508,1호선,종로5가,42,2,1849,3738,3128,15895,6056,38553,10684,86110,16415,59211,28108,57434,39977,59532,46224,53320,52184,50933,59231,47536,60396,41484,64912,39564,83983,35637,86091,32810,45292,19315,31964,11614,29155,8462,18170,6730,5093,4132,370,1090,0,2,0,0,0,0,20250903
202508,1호선,청량리(서울시립대입구),1211,33,10358,2867,18023,11065,46704,17522,54896,38164,36729,37125,35876,41662,40703,50495,46061,50719,47302,50231,48564,48925,52862,48451,57513,49596,54667,50965,46882,59424,27413,37667,20482,23990,15489,22335,9532,19836,4135,11896,305,3726,1,0,0,0,0,0,20250903
202508,2호선,강남,126,12,8090,11485,17819,55762,40136,156682,59746,310565,51011,324473,54372,157578,74117,107970,93684,107709,107823,121544,120645,108356,145246,102954,174455,110510,266722,143035,323623,178045,215329,104263,168987,59718,183703,53069,163968,45846,73349,23515,11364,5659,1,38,0,1,0,0,20250903
202508,2호선,강변(동서울터미널),48,1,8492,1811,20984,21768,62542,22305,93478,40538,71161,35265,58529,34372,51412,32578,46958,35996,44042,40230,41654,42443,43432,50907,48373,54907,55739,67982,55559,89331,37241,61728,29672,44773,26826,36987,18049,33221,6436,17088,902,3909,0,2,0,0,0,0,20250903
202508,2호선,건대입구,265,13,14730,1462,21443,15053,51577,23078,87053,51583,61534,46858,40887,43670,38611,46747,45785,54623,48964,59843,50670,59958,55982,65301,66780,78429,76607,101606,84177,143434,67030,99738,68094,65907,70401,61885,68927,56542,40560,31952,6637,11062,3,923,0,0,0,0,20250903
202508,2호선,교대(법원.검찰청),18,0,2583,6227,10647,26566,23243,55617,33207,151862,27087,121009,25469,66166,31503,54819,34567,51038,40411,56135,46402,47585,51710,44567,57799,46206,93946,59170,127329,65811,57786,38968,48625,25425,47235,22968,35926,22160,14043,11114,2674,3009,2,13,0,0,0,0,20250903
202508,2호선,구로디지털단지,456,14,36201,4877,51769,20281,130326,81725,172360,208850,108388,133074,67459,58100,61225,45917,71051,51894,66426,65009,61735,61549,69441,65657,86182,78945,135270,106622,192997,157079,97669,121513,61287,83125,51375,84062,38250,80672,17604,47170,3135,13370,2,164,0,0,0,0,20250903
202508,2호선,구의(광진구청),76,4,13326,1301,27540,12211,73026,17890,115217,43652,71827,27004,41731,25283,34416,27226,37032,30064,37817,33508,36119,34577,37185,41235,41933,48222,45267,66883,51748,103465,30201,73277,24595,50102,23276,47885,18424,43693,8885,23798,1415,7164,1,45,0,0,0,0,20250903
202508,2호선,낙성대(강감찬),50,3,11325,2509,26858,9026,80540,17967,119954,39033,79793,32492,46900,25171,38901,24866,42379,27232,40687,29184,35874,31831,36467,38069,40279,44216,47335,62895,51085,98528,29629,79892,23113,55730,20446,52543,14849,53431,7653,32434,1303,8085,2,171,0,0,0,0,20250903
202508,2호선,당산,65,9,7749,3676,18618,15086,43936,27927,53426,71649,31919,30545,23298,15859,22894,15520,23182,17604,21957,20090,20709,20031,22491,23127,28433,30011,41306,46302,54662,70434,24153,47613,20097,32851,19280,31082,16714,28919,8471,18374,1343,4318,3,88,0,0,0,0,20250903
202508,2호선,대림(구로구청),762,18,31866,3154,29378,10564,64817,22491,90120,50259,61381,33570,39292,31508,33317,33003,34682,31279,34181,30730,31440,31698,33128,39650,35631,46404,41857,58734,47084,65605,25267,49076,18760,39463,13982,50155,10556,45125,5116,21989,787,5267,2,184,0,1,0,0,20250903
202508,2호선,도림천,1,1,472,315,1440,858,3264,3455,3657,5031,2257,2366,2403,1475,1671,1339,2375,1838,1845,1700,1994,1837,2483,1891,2712,2152,2899,2606,3710,3600,1533,2831,1013,1895,936,1594,567,1236,224,908,56,258,0,4,0,0,0,0,20250903
202508,2호선,동대문역사문화공원(DDP),163,16,3996,1010,3639,8852,6309,19225,12643,42067,16566,31961,19285,31715,21471,31733,24196,31060,25971,32694,28711,33965,34201,32446,40681,32199,47615,34489,46708,38785,31536,33727,28123,27030,26012,22155,19434,18703,9852,10894,2010,3318,0,65,0,0,0,0,20250903
202508,2호선,뚝섬,14,0,3654,2089,8764,15236,18143,39396,24788,131985,16802,93944,15397,45268,18660,39904,23599,40561,28448,41571,34145,37135,42033,37857,51785,39475,83124,42390,131062,50003,71304,30271,52480,17052,42188,14030,26284,12594,9778,7554,1436,2223,1,18,0,0,0,0,20250903
202508,2호선,문래,8,3,4411,2661,14830,11008,41883,39969,47064,129054,26217,61333,20468,26731,20227,23851,24570,26889,25692,28453,27070,27432,29844,28144,37569,33030,64672,43418,108433,64949,41225,41353,30893,22998,31226,20280,28937,18309,12945,10527,2151,3450,1,53,1,0,0,0,20250903
202508,2호선,방배,3,1,2418,2992,8708,12095,20394,25827,28429,61738,22885,42886,17544,20932,18096,17414,21340,18851,21236,19986,21919,19540,24971,19386,30832,21627,41991,28356,54052,33949,25208,23451,18920,16411,18929,15012,14488,15694,5291,8407,1028,2346,1,14,0,0,0,0,20250903
202508,2호선,봉천,67,7,14935,1363,29189,6800,80815,13367,116060,28121,74464,22518,43769,21237,35502,23524,38295,25329,36713,26678,33904,30235,31220,38387,33100,44955,35620,60021,34931,90252,21981,71478,17952,45838,15102,43580,11427,40994,4845,23789,866,7154,2,439,0,0,0,0,20250903
202508,2호선,사당,98,4,13502,3999,30394,33136,77108,43987,99142,66588,73499,49521,51915,44026,46531,54375,53722,54782,55484,54342,59163,54164,61559,66396,67280,87255,82030,131559,97244,177735,67922,117624,64295,74155,73138,70159,68752,69535,38423,38674,5908,10433,11,586,0,0,0,0,20250903
202508,2호선,삼성(무역센터),158,3,5880,6587,6898,54180,13780,140681,18609,301911,19592,234535,23895,121613,36801,91728,49549,85791,63777,88849,81855,76704,106300,68048,143687,62762,235923,65443,287813,59366,153438,34239,120950,19551,97611,16440,62614,13115,16968,6435,2218,4053,4,916,0,0,0,0,20250903
202508,2호선,상왕십리,8,0,5942,911,14311,6016,39527,11333,59614,27461,35713,17547,22806,14526,20337,13809,21443,14550,21352,16721,19152,17993,19885,20559,22405,26097,25289,35799,26211,54103,16795,35450,11724,24195,10311,22269,7138,21976,2705,12451,469,3742,0,10,0,0,0,0,20250903
202508,2호선,서울대입구(관악구청),4526,21,27163,2996,44617,14393,120037,26477,168604,63739,116758,60532,70666,46650,60514,42940,69930,47760,68640,53106,61520,55244,63775,64087,72513,75008,80207,105548,86496,165895,53988,129935,45154,86897,43839,82055,37775,83603,19362,48956,3195,18285,1,3271,0,0,0,0,20250903
202508,2호선,서초,9,1,1812,4926,9005,25231,17654,53566,28119,110533,27219,82485,20963,40054,31280,33605,27440,25668,33435,27570,33509,25931,43240,21230,49197,23360,73966,25701,88876,27551,40692,18361,29003,12688,29622,11822,17824,11878,5691,6155,922,1345,0,11,0,0,0,0,20250903
202508,2호선,선릉,125,7,4394,5969,11854,45965,21868,126804,33945,277200,34559,204980,39595,102354,50454,68941,61708,68381,68447,74390,76854,57181,101776,50516,132559,52560,219809,56927,289784,59026,143269,38298,94371,24247,84626,22402,73874,19660,24449,11341,3747,4209,0,21,0,0,0,0,20250903
202508,2호선,성수,91,1,5038,4696,8703,34962,19876,73120,25601,232994,21912,160454,22391,111754,29225,109173,41351,113704,57164,116062,75089,111888,98092,107339,126283,100674,181517,95283,269606,90575,160203,52925,129916,27281,108942,18309,69845,14858,23196,11285,3036,5219,0,749,0,0,0,0,20250903
202508,2호선,시청,16,0,1067,2381,2452,20988,5332,73874,9246,215621,14741,84371,21337,31098,27391,26807,26701,27571,30490,28969,36815,24379,44870,22172,55062,21264,105464,23774,166902,23282,59835,13645,46108,9532,39783,9387,25005,7774,9528,4751,1153,1404,2,42,0,0,0,0,20250903
202508,2호선,신답,9,1,1228,64,2158,697,6361,938,10066,1387,4418,870,2482,1002,2230,1102,2090,1322,2004,1424,1627,1867,1640,2731,2005,3550,2063,4855,2043,9617,897,6381,665,3754,501,3876,341,3209,132,1882,38,478,0,0,0,0,0,0,20250903
202508,2호선,신당,20,2,5520,1102,11124,7098,29056,14207,49149,27401,28645,21185,20282,18332,20693,20826,22790,21436,22974,22190,22286,22566,23440,25039,26188,30681,29931,40170,31693,57164,21514,36275,18115,23940,17084,21133,15288,19374,7446,11521,1404,3451,0,16,0,0,0,0,20250903
202508,2호선,신대방,302,3,23514,2028,33925,9114,86372,14284,122144,23218,78687,17546,44281,18114,35146,18735,36313,21532,34530,24766,29373,28543,29067,36917,31708,44242,33985,59649,30835,86065,20535,73879,15806,53419,12693,56023,9942,52542,4825,30171,804,8436,0,64,0,0,0,0,20250903
202508,2호선,신도림,4264,35,35647,5164,54647,19432,132878,42141,139195,100704,86473,68774,62277,56206,60880,55790,68633,58062,68902,63527,69966,63138,74270,70719,82033,83827,102510,108489,116330,158533,67151,109558,53221,71965,51297,68989,41582,67126,21509,47809,2567,19304,13,2389,0,0,0,0,20250903
202508,2호선,신림,159,10,35937,4088,67652,17774,172833,27135,253937,43192,160526,42913,91469,42839,77570,45290,81982,51429,77801,58780,71458,63947,70096,80385,76459,98624,78643,133764,79644,219317,55696,182797,46909,125245,43223,121326,36531,113431,20791,73100,4195,21363,2,250,0,0,0,0,20250903
202508,2호선,신설동,32,1,1154,250,1572,1851,5008,5184,8891,12164,5548,9345,5519,8676,7077,7690,7910,7532,7910,7929,8126,6265,8319,5888,9337,5413,11960,5832,11931,7744,4778,5326,2898,3896,2818,3466,1663,3551,637,2305,107,854,1,125,0,0,0,0,20250903
202508,2호선,신정네거리,73,0,8371,792,17561,2298,45879,4610,40804,11437,22869,8470,17269,7911,15634,8456,15451,9948,14399,11457,12520,12861,11727,15953,13114,20752,12149,29840,11587,45679,7263,32705,5629,19864,4350,17130,3407,16083,1589,10153,311,2676,1,89,0,0,0,0,20250903
202508,2호선,신촌,60,2,6429,2532,13485,14060,33916,33006,49033,72941,37786,84570,39038,65054,47559,60538,58052,64071,61750,72983,62862,63985,70733,61878,81765,66403,97100,82721,94085,105276,67902,71496,70531,46584,69974,40795,66638,37637,30251,24687,4725,6408,0,51,0,0,0,0,20250903
202508,2호선,아현,13,1,4591,1007,10710,4946,28572,9514,39114,17885,23953,13508,17386,10564,16749,10520,18204,12016,17922,13088,15130,13892,17214,16208,18468,18448,19455,24467,18875,32992,12235,24328,9005,17210,6922,16003,5119,15186,1953,8130,302,2385,0,8,0,0,0,0,20250903
202508,2호선,양천구청,46,0,5085,764,11623,2452,28925,4941,26832,8621,15538,5312,11280,4586,9607,5294,10252,6753,9484,7540,7617,7901,8001,10470,8569,13230,8674,18559,8565,27953,4179,22206,2997,13334,2437,12660,2160,9856,654,7540,127,2021,0,15,0,0,0,0,20250903
202508,2호선,역삼,30,1,3599,6976,8478,44302,15025,156717,24877,353042,23739,288039,25913,120272,34058,63849,41528,59434,47166,63335,57953,48420,75723,42584,103669,42299,227727,53523,270357,59140,146026,35845,83180,23018,74863,19911,55412,17375,19237,10505,3100,2903,0,14,0,0,0,0,20250903
202508,2호선,영등포구청,49,3,5039,3111,13227,13329,38685,39312,49033,118390,30904,53452,23529,29289,24604,25323,27857,25510,29050,28402,29018,26138,31839,27244,37992,30817,59776,40016,98857,59482,37431,38975,29325,24258,25788,21707,18906,19629,8830,13158,1573,4537,0,64,0,0,0,0,20250903
202508,2호선,왕십리(성동구청),492,4,5819,935,9245,7026,24953,12775,41960,25207,27409,21329,19677,16681,20007,17792,23656,19210,23490,21079,22539,20888,25900,23156,29857,27438,34611,36536,33662,54578,22742,33534,21221,23208,22697,20113,22134,20044,12098,12668,1897,4264,2,18,0,0,0,0,20250903
202508,2호선,용답,21,0,2306,431,3360,1288,7720,1845,13365,2816,7854,2118,5517,2156,4517,2631,4481,2899,4548,2938,4055,3434,3979,4399,4746,5791,4786,7066,4038,10738,2613,7515,1816,5576,1425,6197,1070,6325,444,3563,103,1034,0,0,0,0,0,0,20250903
202508,2호선,용두(동대문구청),60,4,1101,105,1834,978,5686,2561,8988,5081,5472,3411,4230,3463,4117,3643,4292,3211,4181,3890,4430,3943,4728,4415,4905,4624,5195,5888,5499,8635,2508,5922,1728,3516,1596,3479,789,2610,325,1592,38,521,0,10,0,0,0,0,20250903
202508,2호선,을지로3가,9,3,1102,1901,2771,23713,6725,75179,13935,163835,18480,64994,24993,30737,28386,28607,28862,27715,30069,30339,33787,28382,38184,28972,49417,34532,94332,40861,136238,46869,55185,30404,43190,19661,46384,17495,39718,15825,21163,9311,3439,2023,0,72,0,0,0,0,20250903
202508,2호선,을지로4가,7,0,1126,1092,2404,14014,6117,33724,12557,70162,15458,36451,20065,23477,22865,22632,22077,21154,22409,20685,24149,19810,27347,18977,33622,18549,59337,19497,64662,20424,27624,14628,17501,11741,14718,11814,10546,11327,4893,6526,912,1797,0,32,0,0,0,0,20250903
