사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202509,6호선,신내,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,5,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,20251003
202509,6호선,신당,121,0,5516,1329,4933,8601,7992,16082,12620,37749,9791,22314,8652,14072,10565,11398,11265,11237,11784,12728,12704,10170,15560,10117,19847,13142,23257,15610,27747,21380,17036,20459,16395,11452,14677,8625,17219,9478,6996,7540,1558,2530,2,19,0,0,0,0,20251003
202509,6호선,안암(고대병원앞),21,0,2076,1615,3591,7336,10626,22063,15219,62341,14072,41047,15296,49752,19173,30166,20781,22632,22648,29947,28798,23867,30822,18296,50906,19951,60955,22357,44968,31195,26146,20224,24015,13776,30160,14261,23752,15071,14016,10270,2539,3853,0,122,0,0,0,0,20251003
202509,6호선,약수,8,0,1281,307,2054,2776,5145,7025,8307,17045,6389,9299,4910,5756,5071,5271,5808,5103,5821,5743,6134,5234,6771,6341,8170,6357,10227,7826,14182,10080,7483,6048,5753,3783,5450,3315,4458,2975,2286,1689,442,531,0,1,0,0,0,0,20251003
202509,6호선,역촌,0,0,2483,441,6633,3395,17262,3697,18558,8577,9972,4580,6636,3809,6462,5006,6806,5848,6675,5503,5800,5851,5591,6847,5680,9025,5986,12552,5693,19194,3191,14881,2206,8358,1762,8364,1314,7527,570,5063,83,1562,0,0,0,0,0,0,20251003
202509,6호선,연신내,0,0,0,0,2,0,2,0,1,0,3,0,7,0,5,0,7,0,5,0,5,0,6,0,4,0,9,0,9,0,4,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,20251003
202509,6호선,월곡(동덕여대),28,1,7480,1039,15511,4165,44554,9037,50540,29940,26255,19335,18348,17778,16940,15246,17954,13553,19061,15590,19523,15381,19505,18578,24541,24195,24437,29174,28380,45293,13989,33569,10040,19633,9194,18613,5667,16821,2657,10791,494,3578,0,0,0,0,0,0,20251003
202509,6호선,월드컵경기장(성산),31,0,965,1482,3194,4312,8521,7259,10118,10702,6276,10275,6995,11122,8216,11508,9340,12919,9796,14302,11094,14822,13320,16631,16116,19226,15255,32497,12783,41786,9083,13639,10424,5918,40838,4783,18569,3367,1648,1582,203,493,0,0,0,0,0,0,20251003
202509,6호선,응암,33,1,12660,1516,29984,5935,78579,10691,93208,19544,49291,20648,30750,18323,28045,16033,28756,19085,26479,20307,22731,22250,22907,29982,27841,36796,26360,51351,23540,79439,14275,60918,10342,39332,8681,33387,6603,29149,2553,18915,390,5646,0,0,0,0,0,0,20251003
202509,6호선,이태원,187,0,13788,3114,11639,19341,9852,13629,11524,33731,10325,28631,9884,19898,10867,16122,12320,17402,13733,18584,15964,17510,21986,19442,33571,23188,34679,27997,40372,34163,28738,29880,24337,23755,25055,23766,24850,23967,18111,19694,3529,7503,0,0,0,0,0,0,20251003
202509,6호선,증산(명지대앞),73,12,7519,832,15363,4333,39546,5056,47965,11507,26348,9657,16816,8146,14739,9004,14684,9262,14136,11266,11921,12206,12213,15015,13816,19291,13045,26016,12815,42001,7648,31335,5752,19468,4213,18624,3502,15796,1471,8920,307,2915,0,0,0,0,0,0,20251003
202509,6호선,창신,8,0,2928,348,5710,2291,16669,5553,18468,6848,9827,4454,5512,3390,5083,3484,5114,3815,4889,4165,4109,4098,4834,4715,6993,5845,5983,7825,5296,10328,3728,8266,3483,5546,2526,5223,1338,5132,640,3097,129,966,0,0,0,0,0,0,20251003
202509,6호선,청구,19,0,1421,513,2909,3134,7546,7312,10452,22411,6433,11597,5237,4954,4783,3957,4754,4214,4963,4852,5092,4527,5463,5097,7065,5560,8881,6426,14633,8095,8664,5262,5108,3952,4481,3641,3498,3350,1757,2170,380,730,0,0,0,0,0,0,20251003
202509,6호선,태릉입구,14,0,4811,1234,7943,3733,20393,4374,23734,11708,12715,8309,9599,6137,8879,9552,9246,7613,9017,8656,9016,9545,9577,10144,10851,12712,10792,16950,10901,25630,7150,19524,5498,12140,4816,11865,4119,10838,2202,8077,496,3896,0,2,0,0,0,0,20251003
202509,6호선,한강진,26,1,860,920,1594,10801,4349,25899,6875,46521,6447,31712,4718,24429,6101,22035,8539,21514,10744,26815,13997,23113,21549,25220,31275,25969,42425,26778,48505,27891,31736,14202,27542,5762,22586,4598,23394,4111,4510,2539,548,1767,0,196,0,0,0,0,20251003
202509,6호선,합정,26,0,3546,1370,5968,6711,14368,17430,21275,43396,15506,31393,13440,19546,14881,19412,17599,20067,19378,22362,20579,19581,23475,21848,26808,26725,35663,32891,49754,46443,32992,28284,29346,16007,32075,15003,27237,13415,14694,8395,2430,2501,0,0,0,0,0,0,20251003
202509,6호선,화랑대(서울여대입구),10,0,6886,1346,23151,4731,58837,9678,55563,23385,28220,14737,18355,10199,16585,11350,16998,9027,17658,10993,15976,10679,18701,13550,23620,17161,22366,25022,18229,38994,8779,32723,6015,19748,4846,17262,3703,16701,1302,10688,173,3737,0,23,0,0,0,0,20251003
202509,6호선,효창공원앞,11,0,2554,772,6343,4345,19418,8260,29937,28195,17036,15750,10959,11744,10076,10240,11710,9638,12538,10668,10868,10029,12853,10468,16290,12982,19194,15629,26338,22646,11249,15209,7684,10235,7322,9115,5680,8238,2581,5073,500,2135,0,0,0,0,0,0,20251003
202509,7호선,가산디지털단지,587,5,6704,5500,10878,28769,26172,144939,31511,400785,21694,232660,20388,60644,24951,36432,33126,34106,37055,34690,41615,29723,55066,27330,81541,27279,227111,31460,316235,37563,123546,27578,68801,17293,50545,14619,28504,13307,11856,8646,1742,3114,2,2,0,0,0,0,20251003
202509,7호선,강남구청,22,0,1845,1917,4285,18369,8110,40352,11198,112190,10617,103241,10337,44915,12583,25470,15759,21875,18398,23716,22799,20887,28225,19127,35192,19103,57051,21311,92545,22629,57045,13969,35724,9758,31558,7102,21703,5769,9375,3794,1641,1742,0,0,0,0,0,0,20251003
202509,7호선,건대입구,78,1,4453,1233,5890,9741,15189,22015,21564,47742,17113,34932,15849,30946,17901,25054,19838,25439,22340,26978,27315,25562,32273,24235,37168,25446,45709,32661,39440,41088,29189,27046,29271,16068,25936,14127,21324,12091,10821,6810,1878,3743,1,190,0,0,0,0,20251003
202509,7호선,고속터미널,13,1,1420,3265,3027,24127,12247,44876,20940,54348,26683,38844,25597,31040,27658,28452,28472,25516,28457,28818,30272,25442,41312,21383,45966,22376,64243,24953,52321,28161,34314,17483,36314,10779,32313,9733,23960,5660,7506,3129,799,793,0,6,0,0,0,0,20251003
202509,7호선,공릉(서울과학기술대),45,0,6435,1038,15424,4803,39485,13099,44360,27875,24040,22197,18870,16062,19009,13954,20393,16521,20670,17829,19217,16395,22937,19479,26186,24178,26764,28947,26588,44123,15026,35911,12063,21421,11060,18439,9049,18563,4934,11799,850,3902,0,0,0,0,0,0,20251003
