사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202506,2호선,구로디지털단지,474,18,38367,5115,52885,20021,133186,79938,174292,212226,110873,131928,70964,56033,64759,46418,71254,51242,68533,64387,62206,62381,69436,66834,84670,80855,133592,108622,189379,157507,95849,121302,62730,84680,51432,85984,39511,81070,18349,48601,3357,12853,4,175,0,0,0,0,20250703
202506,2호선,구의(광진구청),90,3,13620,1306,28290,12055,73108,17897,114731,42216,73532,26051,42888,24809,35070,26039,36559,28979,36861,32948,35940,33972,37279,41861,41404,49210,42540,65099,48805,100394,27946,71144,23235,50436,21316,46848,18584,42278,8848,23918,1429,7122,2,91,0,0,0,0,20250703
202506,2호선,낙성대(강감찬),70,3,11773,2412,27337,9747,80832,20115,117688,39902,78857,32950,46336,26895,39680,26471,43104,29071,42252,30532,38164,32951,39599,39109,41686,44919,45444,62051,50846,98038,28924,78835,24782,55613,21353,53417,15617,52950,8148,32466,1355,8279,1,59,0,0,0,0,20250703
202506,2호선,당산,38,7,7944,3372,19112,14956,47219,27897,56046,71579,35020,31852,26963,17012,25112,17068,25926,19793,24074,22159,22297,22988,24298,26755,29150,33963,41312,49661,54333,73447,25681,48393,21877,34378,21400,33348,17424,29994,9168,19312,1430,4526,2,112,0,0,0,0,20250703
202506,2호선,대림(구로구청),884,42,35441,3432,29459,10821,65586,23257,91970,50172,62589,34906,41318,33710,35412,34808,37252,33001,36687,33611,33811,34083,35364,41755,37469,49678,42399,61432,47183,67081,25520,49957,19730,39908,15003,49637,10928,45437,5356,22627,733,5498,4,141,0,0,0,0,20250703
202506,2호선,도림천,3,0,443,353,1454,870,3333,3545,3350,5121,2043,2244,1849,1485,1818,1587,2149,1801,1661,1654,2067,1983,2583,1628,2880,1966,3188,2437,3564,3197,1529,2479,1065,1849,888,1580,560,1291,196,911,30,293,0,6,0,0,0,0,20250703
202506,2호선,동대문역사문화공원(DDP),277,6,5008,1158,3853,9283,6871,22195,12988,46329,16287,33535,18241,33858,21000,33915,24624,33556,26825,33848,29962,34529,37126,32957,42479,31446,48282,33401,47419,36182,31470,33667,27225,25766,26266,21809,18714,18447,10236,11190,1955,3251,1,106,0,0,0,0,20250703
202506,2호선,뚝섬,11,0,3594,2289,9101,16380,19156,40907,24942,134413,18880,94025,16636,48763,21220,40690,24497,41717,29896,43108,36306,39251,43124,39122,55106,39935,82971,43068,129945,49850,70900,30025,55387,17128,44270,14351,27189,11970,10141,7975,1406,2478,0,18,0,0,0,0,20250703
202506,2호선,문래,13,4,4481,2856,14913,11165,42455,40070,48418,128812,27523,60463,21537,28922,21344,23803,25848,27680,27113,29119,28601,27701,30257,29887,36718,34422,63148,43585,106140,64236,39953,42164,30353,23897,34006,21138,27957,18758,13205,10438,2161,3237,1,104,0,0,0,0,20250703
202506,2호선,방배,5,1,2637,3514,8846,12803,21708,26959,29118,70012,23486,52928,19516,30160,21193,24829,23273,26101,26065,24433,28853,24933,32852,23631,38717,24343,47673,31645,58401,35449,28385,23776,22916,17002,22739,15365,18170,15767,6660,8663,1401,2428,0,20,0,0,0,0,20250703
202506,2호선,봉천,105,3,15049,1401,28876,6659,81841,13523,117345,27687,74817,22647,43540,21286,37031,23749,38236,25509,37351,27999,33877,31276,32530,39078,34163,45657,33791,58811,33231,89829,21111,69561,18249,46450,15380,44796,11308,40863,5165,24118,873,7404,2,509,0,0,0,0,20250703
202506,2호선,사당,132,5,13321,4206,31033,35141,77695,48192,100300,70104,76162,52930,52914,47874,49106,62104,54853,61793,59591,57817,66152,56640,68648,69143,70368,91589,83779,132272,97967,173806,70808,114239,71490,74958,75768,70009,67794,64640,37220,39751,6116,10970,1,520,0,0,0,0,20250703
202506,2호선,삼성(무역센터),91,2,4773,5968,7290,51849,14273,137248,19614,303977,20491,241268,25312,120747,37871,89283,50228,82970,65802,87972,82962,75254,106776,64973,140276,59944,227102,62518,276736,59114,150631,32687,120198,19909,98431,15517,60571,11898,15796,6341,2036,4258,1,989,0,0,0,0,20250703
202506,2호선,상왕십리,12,0,5864,834,14640,6401,39953,11911,62458,28624,35962,18174,23029,14485,20603,13710,21846,14878,21120,17333,19445,18176,20176,22198,22033,28038,24428,35526,25740,53006,17692,35069,12638,24715,10852,23274,7315,21430,2888,12528,465,3935,0,11,0,0,0,0,20250703
202506,2호선,서울대입구(관악구청),4282,27,27131,2954,44767,14693,121059,28436,165002,69251,114670,62267,70635,49303,61235,45293,69787,49073,71009,55844,64223,56996,68163,65987,73060,76741,80159,104846,86953,162446,53559,125658,46908,86212,46445,82006,39831,81868,21436,46830,3573,18521,0,3023,0,0,0,0,20250703
202506,2호선,서초,3,0,1865,4623,8894,25013,17873,51704,28044,107902,27977,83507,21323,42591,31649,36707,27987,27989,36901,29075,37576,28156,44938,24019,50950,25489,71380,27326,87322,28070,40527,19563,30607,12467,30047,11399,16433,10813,5961,5907,947,1317,1,8,0,0,0,0,20250703
202506,2호선,선릉,160,3,4349,5731,12081,44840,22561,126003,35390,266692,36093,201622,39520,96862,49320,65934,59227,63873,68242,71885,76558,57504,102358,51826,127158,51792,204372,57769,275246,57501,138605,37636,93088,25108,83258,22220,69632,18977,24583,10664,3851,4498,1,76,0,0,0,0,20250703
202506,2호선,성수,143,5,5481,4816,8684,34987,19855,71655,26828,235765,22984,156678,23168,106016,29165,99225,40042,102534,53732,107392,69461,104851,90214,99590,116375,94056,169408,90200,259793,86459,147257,50886,125517,26904,104608,19393,67388,14745,23675,11656,3143,5763,1,812,0,0,0,0,20250703
202506,2호선,시청,16,0,1058,2240,2302,21182,5117,73820,8734,210468,13578,84324,18962,31324,24488,28727,25332,28858,31306,28930,37376,24594,44367,21278,55383,19920,102589,23627,160539,23427,58132,14312,46844,9560,43717,8899,26401,7226,9425,4221,1145,1297,2,39,0,0,0,0,20250703
202506,2호선,신답,9,2,1268,62,2170,646,6103,952,10005,1516,4445,1045,2731,1078,2325,1153,2070,1533,2045,1678,1781,2022,1774,2860,2033,3739,1939,4728,1950,9344,1069,6258,768,3629,546,3695,355,2936,187,1894,49,502,0,2,0,0,0,0,20250703
202506,2호선,신당,46,5,5849,1094,11185,7301,30033,15404,49307,28784,28770,21073,20598,18654,20591,20597,23070,21647,23603,22341,23395,23015,24493,25951,27037,30882,29213,40442,32616,54877,22196,36403,18740,24124,16962,21912,15232,19682,7799,11724,1417,3509,2,11,0,0,0,0,20250703
202506,2호선,신대방,258,3,24603,2029,35103,9443,86102,15114,124621,25065,80148,20311,46636,21404,38156,22332,38899,24135,37261,28267,33731,32150,33613,40837,35672,47230,36387,61484,32211,89797,22158,73794,17413,54314,14047,58251,10528,53756,5091,31551,875,8406,2,61,0,0,0,0,20250703
