사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202505,1호선,동대문,695,16,11411,1920,9784,7385,16724,13140,22729,20497,22058,23012,19975,25358,21101,29735,24805,28392,26919,27142,29548,26595,29973,25672,31809,24871,29075,23768,25641,23523,19867,22819,17606,16985,15411,15450,12070,15180,6108,9851,903,3141,8,284,0,0,0,0,20250603
202505,1호선,동묘앞,148,3,2859,986,4018,5686,8874,11760,14014,24066,12934,19657,14772,26787,19944,35484,28057,37690,34739,41748,37791,35373,39076,30801,40567,23128,36104,17324,25464,13959,13532,9798,6943,6785,5587,6811,4091,6995,1539,4711,135,2029,3,178,0,0,0,0,20250603
202505,1호선,서울역,688,67,10783,10374,28788,65184,90177,127458,151470,241420,121799,173299,107330,107071,120554,102596,136363,112334,128103,110573,109089,100942,139680,117071,154396,125876,221567,149015,252289,173736,144704,119129,106540,88200,111385,82681,75904,62690,40326,32808,4299,8636,18,174,0,0,0,0,20250603
202505,1호선,시청,121,3,1938,5755,3754,27708,7542,74917,10220,197607,13232,92400,16110,51960,21425,49102,24537,45507,34273,45057,43511,36293,56893,30098,71729,27261,98677,28848,156643,26202,62998,13978,58654,9328,50245,8165,30412,5957,9887,3883,558,899,0,32,0,0,0,0,20250603
202505,1호선,신설동,414,32,9502,2362,10403,9078,22203,25943,32851,53520,23382,32022,21078,21757,22403,20386,24599,19569,25712,21241,24424,19817,25719,22019,31563,23740,42411,26173,51467,31725,21232,23013,15014,17361,13569,16853,9296,14996,4003,9707,444,3017,0,0,0,0,0,0,20250603
202505,1호선,제기동,412,3,5583,2613,9565,11699,21975,21401,31989,39339,25061,33466,26894,38135,34152,47076,39407,47822,41077,48881,45573,45587,49434,38062,49374,35712,44473,29167,38556,27332,21663,18180,14520,12517,9379,12111,5742,10105,2491,6446,185,1514,0,0,0,0,0,0,20250603
202505,1호선,종각,123,5,4308,6182,4490,37918,6934,111722,10338,251173,13609,139717,19287,65148,29367,64261,36133,57961,44956,55914,57305,45403,70806,41765,90034,43344,153352,47578,207901,48501,95764,24152,85725,13620,85689,10083,59844,7636,25251,4907,1849,1197,0,1,0,0,0,0,20250603
202505,1호선,종로3가,235,16,4134,2952,4395,13474,6238,28130,10539,66254,15870,64598,22980,58670,33417,69821,46247,67926,49773,63167,61111,55819,70741,49246,78252,46358,89485,43886,93564,42126,58830,22817,52316,14172,54083,11309,41906,8926,19943,5802,1969,2309,1,28,0,0,0,0,20250603
202505,1호선,종로5가,61,4,2085,3801,3316,17700,6317,41844,10856,85359,16574,61775,26261,60818,36716,63893,45576,57583,53250,55062,62928,51853,65436,44015,72578,40831,88115,36222,87752,32458,48815,18149,35299,11132,31506,7953,20545,6143,5756,3838,399,1000,0,0,0,0,0,0,20250603
202505,1호선,청량리(서울시립대입구),1130,22,10791,3050,18854,12057,48790,18441,57966,40786,39717,40391,36756,43569,42022,49940,48198,50644,50425,52752,52671,53654,56267,51068,58388,51847,55192,53803,47249,60561,28727,39300,22594,25428,17818,23972,11139,21009,4618,12797,378,4101,0,0,3,1,0,0,20250603
202505,2호선,강남,139,4,8490,11704,18191,55157,40635,151752,61611,306968,55740,319049,58759,155727,76646,106351,93582,103280,108093,118515,119795,108577,144438,103252,170141,113401,249389,143024,311231,172857,208710,104727,161850,64938,178635,54289,156240,45503,70626,25367,11752,7025,8,106,0,0,0,0,20250603
202505,2호선,강변(동서울터미널),31,1,8980,1802,22367,24247,64876,25268,99819,41576,76909,37318,63534,35141,55154,34405,51366,38279,48325,42591,44183,47076,48584,56055,52126,59473,55929,74124,59156,94109,40830,64847,33152,47412,26709,38753,18144,33988,7096,18280,787,4606,1,85,0,0,0,0,20250603
202505,2호선,건대입구,378,9,16590,1903,23580,14877,54172,24441,91550,60035,67987,51599,46085,51011,43960,53194,51483,60291,55338,64816,59498,66122,64738,72953,75531,85655,84565,113716,92167,154544,73348,108413,75663,72995,83655,67858,80415,60311,50078,36375,7946,12522,15,1076,0,0,0,0,20250603
202505,2호선,교대(법원.검찰청),24,0,2755,6705,11558,28338,25517,57465,36188,155736,31171,128133,29110,69411,34072,59193,37635,54911,44777,59688,52138,52745,55038,51186,59929,52598,94798,66083,128759,70127,62953,42298,53620,27764,52583,25127,38648,24102,15866,13273,2939,3656,0,34,0,0,0,0,20250603
202505,2호선,구로디지털단지,388,11,40599,5141,53823,20559,137245,79454,180922,210712,118912,133589,76414,57777,69126,48057,74521,53744,73275,67402,66673,64942,72759,70549,86910,86222,134497,115126,190796,161793,98165,126461,62949,88918,52039,90865,40254,86378,19015,50801,3477,14434,6,249,0,0,0,0,20250603
202505,2호선,구의(광진구청),81,4,13964,1409,28639,13291,73614,19677,117430,42636,76845,24550,45090,23741,37151,23339,38311,27267,37708,30920,35754,33129,36140,41576,41323,48216,42575,65845,48193,100012,27506,71832,21716,51940,20109,48934,16810,44683,8844,25554,1377,7613,5,143,0,0,0,0,20250603
202505,2호선,낙성대(강감찬),47,3,11995,2390,28316,10189,83246,20228,122335,41779,82536,36438,48832,31015,41591,27674,46207,30619,45160,32116,40117,34306,41241,41067,43618,48090,49967,65788,53483,98581,31902,82662,26091,58031,23150,56344,17156,56297,9122,34502,1679,9791,0,117,0,0,0,0,20250603
202505,2호선,당산,44,7,8621,3683,19238,15147,48751,28604,59037,72052,37774,35539,29650,18287,27986,17910,28506,20780,26879,23965,24263,24268,26158,29126,32054,36204,44304,52975,56079,75204,28282,50742,22383,36434,21313,34904,18175,32089,9441,21408,1461,5314,6,159,0,0,0,0,20250603
202505,2호선,대림(구로구청),786,45,37601,3587,31008,10980,66737,23168,96152,51590,66601,36708,44717,35272,38158,37590,40240,35892,39568,35755,35904,36788,37059,45977,40055,53873,44726,65951,48975,70086,26701,52374,20474,41779,15503,52106,11324,47072,5623,24007,811,5796,1,168,0,1,0,0,20250603
202505,2호선,도림천,0,0,448,375,1422,990,3419,4284,3636,5726,2393,2367,2561,1468,2199,1642,2199,1968,1893,1821,2301,2060,2489,1591,3108,2038,3228,2619,3540,3307,1528,2683,1044,1961,876,1651,548,1282,217,941,37,282,0,10,0,0,0,0,20250603
202505,2호선,동대문역사문화공원(DDP),330,19,5310,1247,4089,9567,7132,22198,13370,46746,16672,33817,18439,34424,21080,35907,25068,35965,27166,36369,31281,37341,38676,35742,45003,34146,50621,36018,49258,38019,33963,34670,28530,26844,27230,22538,19118,19114,11212,11636,2108,3452,5,76,0,0,0,0,20250603
202505,2호선,뚝섬,12,0,3560,2288,9722,16029,19404,40663,26716,134473,18431,95999,17574,50516,20925,44876,25787,45580,31651,47247,38310,42797,48555,42917,59463,43617,89626,46537,134738,51781,76292,31106,57482,18079,47692,15420,29851,13062,10912,8562,1622,2720,2,45,0,0,0,0,20250603
202505,2호선,문래,7,0,4669,2998,15162,11567,43012,40101,50429,127645,30055,61691,23368,28146,22295,24726,27684,27928,28157,30189,29157,29537,31090,31661,37804,36382,64520,46157,106630,65600,41778,43556,30776,24511,34365,21934,27695,19434,13763,11072,2118,3700,2,125,1,0,0,0,20250603
202505,2호선,방배,6,1,2810,3647,9245,13246,22742,28253,31340,76791,24800,61266,20359,35421,22225,27209,25166,29015,28251,26197,31446,26058,36555,25638,43800,26725,53212,34056,62976,36774,31286,24928,24999,17875,24834,16389,20799,16869,8142,9821,1648,2888,0,15,0,0,0,0,20250603
202505,2호선,봉천,113,3,15400,1536,29675,7095,83043,13999,121427,28468,78359,23070,45984,21490,39617,23823,40848,25985,39099,28885,34674,31761,33478,40323,34630,47892,34628,62065,33881,90734,21719,72131,18476,48262,15408,46350,11744,43388,5331,25348,957,8059,5,653,0,0,0,0,20250603
202505,2호선,사당,122,4,13469,4328,32521,37753,81040,51568,103933,74369,80359,56865,56707,50100,53505,61113,59732,61787,63059,59812,67493,59623,68190,72140,73420,94571,85765,136824,101512,178370,73280,120439,71470,78193,76414,74320,70541,71816,39224,44107,6716,12836,5,730,0,0,0,0,20250603
202505,2호선,삼성(무역센터),86,1,4678,5644,7230,52393,14697,137520,20071,302161,21421,245448,26131,127270,40411,92499,54259,84672,69872,90403,87748,77239,111128,66348,146099,63593,230119,66544,276380,61498,149192,35100,121106,20475,99291,15909,64284,12704,16206,6777,2203,4594,0,1052,0,0,0,0,20250603
202505,2호선,상왕십리,25,1,6323,882,14803,6953,41154,12131,63942,30077,37723,18729,25298,14554,22092,14148,23525,15506,22714,18121,20952,19308,21602,23636,23600,28992,26253,37496,26835,54350,19605,36811,12905,25987,11372,24385,7775,22910,3226,13832,512,4385,0,23,0,0,0,0,20250603
202505,2호선,서울대입구(관악구청),4258,35,27615,2787,46068,15611,124049,29150,170547,72373,120968,68500,74493,57806,65404,49493,75463,54055,73371,60011,69356,60013,74230,69720,80340,80916,89583,111455,96029,165995,58641,133076,51214,89584,51829,86755,44463,87417,24531,51057,4271,20923,0,3276,0,0,0,0,20250603
202505,2호선,서초,5,1,1804,4842,9320,25650,18340,53083,29875,109425,28200,83140,22105,42959,30497,33795,28784,27239,36641,29835,35719,30140,46041,27989,51971,29251,75703,29189,92055,29655,41288,20581,30968,12920,30644,11790,18949,11737,6284,6435,1009,1612,0,23,0,0,0,0,20250603
202505,2호선,선릉,143,5,4649,5858,12333,44418,23634,125846,37281,265441,37393,202343,41600,99972,51313,69464,63338,66080,72186,76409,79990,60667,105524,54070,131743,54377,204232,60939,273669,60188,140327,39237,93406,26356,85434,23414,71676,20827,25532,11985,3957,5011,1,162,0,0,0,0,20250603
202505,2호선,성수,69,0,5165,4920,9313,37082,21038,74288,28346,236784,24711,159587,24426,112195,30492,107655,43143,111190,58082,117160,74790,114559,98343,112591,128198,103270,180750,98363,269583,91571,157860,53614,132538,28278,107249,20134,69452,15799,24153,12380,3308,6078,0,943,0,0,0,0,20250603
202505,2호선,시청,15,0,1168,2277,2366,22008,5205,73478,8943,215021,13926,90509,19917,34323,26277,30570,27271,29901,32842,32173,39949,27242,47298,23542,60413,22138,105949,25177,163483,23848,61271,13491,49613,9250,43061,8947,25891,7658,9497,4657,1200,1523,3,74,0,0,0,0,20250603
202505,2호선,신답,17,2,1198,53,2155,691,6263,1038,10164,1622,4601,1090,2889,1080,2475,1136,2305,1522,2376,1617,2068,1994,1841,2907,2155,3699,2314,5054,2068,9542,1058,6478,662,3532,565,3945,405,3193,179,1883,34,503,0,0,0,0,0,0,20250603
202505,2호선,신당,44,10,6046,1269,11874,7822,30838,16375,51085,30751,30645,22365,22451,19324,22428,21918,24105,22699,24973,23499,24998,24816,26287,27490,28851,32258,31516,41846,33907,57026,23799,38149,19720,25836,17776,23758,16318,20777,8292,12928,1558,3873,3,48,0,0,0,0,20250603
202505,2호선,신대방,254,6,25256,2138,36344,9673,88859,15654,128135,25606,85102,20366,49381,21281,40638,22878,41423,25594,39889,29402,35136,33659,35183,42718,36762,50007,37659,63593,33593,92789,22302,77634,17715,56662,14334,60365,11024,56550,5528,33180,877,9464,3,236,0,0,0,0,20250603
202505,2호선,신도림,4156,23,37897,5488,56724,21017,140184,44591,149686,103549,97591,77747,69916,64930,68351,67421,76348,67453,79110,73922,81117,72359,84549,82737,90828,96571,109298,122577,124784,173813,77922,120498,69856,78124,57110,73955,46964,71075,24281,52039,2844,22735,15,2837,0,0,0,0,20250603
202505,2호선,신림,211,18,37804,4241,70119,18771,178057,31154,262534,45816,168850,45771,98694,43605,83752,48827,89398,54637,83503,61616,76459,67856,74697,85669,79313,105203,80685,141037,81474,221035,56677,187123,49723,131918,45933,127680,38774,118867,21867,76829,4591,25161,10,462,0,0,0,0,20250603
